1,G6837-MONOMER_~~~intQ~~~Qin_prophage;_predicted_defective_integrase,99.749,398,1,0,1,398,1,398,0.0,836
2,G6838-MONOMER_~~~rspB~~~predicted_oxidoreductase,_Zn-dependent_and_NAD(P)-binding,100.000,339,0,0,1,339,1,339,0.0,693
3,G6839-MONOMER_~~~rspA~~~mannonate/altronate_dehydratase,100.000,404,0,0,1,404,1,404,0.0,850
4,G6840-MONOMER_~~~ynfA~~~conserved_inner_membrane_protein,100.000,108,0,0,1,108,1,108,1.91e-73,210
5,G6841-MONOMER_~~~ynfB~~~predicted_protein,100.000,113,0,0,1,113,1,113,1.07e-82,234
6,SPERMACTRAN-MONOMER_2.3.1.57~~~speG~~~spermidine_acetyltransferase,100.000,186,0,0,1,186,1,186,1.51e-141,389
7,G6843-MONOMER_~~~ynfC~~~YnfC_lipoprotein,99.576,236,1,0,1,236,1,236,1.74e-178,486
8,G6844-MONOMER_~~~ynfD~~~predicted_protein,100.000,101,0,0,1,101,1,101,1.31e-71,205
9,G6845-MONOMER_~~~ynfE~~~oxidoreductase_subunit,100.000,808,0,0,1,808,1,808,0.0,1685
10,G6846-MONOMER_~~~ynfF~~~oxidoreductase_subunit,100.000,798,0,0,1,798,10,807,0.0,1672
11,G6847-MONOMER_~~~ynfG~~~oxidoreductase,_predicted_Fe-S_subunit,100.000,205,0,0,1,205,1,205,9.67e-158,431
12,G6848-MONOMER_~~~ynfH~~~oxidoreductase,_predicted_membrane_anchor_subunit,100.000,284,0,0,1,284,1,284,0.0,556
13,G6849-MONOMER_~~~dmsD~~~DMS_reductase_maturation_protein,100.000,204,0,0,1,204,1,204,2.75e-150,412
14,YNFJ-MONOMER_~~~clcB~~~chloride_ion_transporter_ClcB,100.000,418,0,0,1,418,1,418,0.0,828
15,G6851-MONOMER_6.3.3.3~~~ynfK~~~predicted_dethiobiotin_synthetase,100.000,231,0,0,1,231,1,231,2.58e-171,468
16,PD01896_~~~mlc~~~Mlc_DNA-binding_transcriptional_repressor,99.754,406,1,0,1,406,1,406,0.0,822
17,G6853-MONOMER_~~~ynfL~~~predicted_DNA-binding_transcriptional_regulator,100.000,297,0,0,1,297,1,297,0.0,602
18,B1596-MONOMER_~~~ynfM~~~predicted_transport_protein_YnfM,99.760,417,1,0,1,417,1,417,0.0,824
19,G6855-MONOMER_~~~asr~~~acid_shock_protein,100.000,102,0,0,10,111,1,102,4.57e-61,179
20,G6856-MONOMER_~~~ydgD~~~predicted_peptidase,100.000,273,0,0,1,273,1,273,0.0,558
21,B1599-MONOMER_~~~mdtI~~~spermidine_efflux_transporter_-_MdtI_subunit,100.000,109,0,0,1,109,1,109,6.20e-71,204
22,B1600-MONOMER_~~~mdtJ~~~spermidine_efflux_transporter_-_MdtJ_subunit,100.000,121,0,0,1,121,1,121,9.21e-82,232
23,G6859-MONOMER_~~~tqsA~~~quorum_signal_AI-2_exporter,100.000,344,0,0,1,344,1,344,0.0,667
24,PNTB-MONOMER_1.6.1.2~~~pntB~~~pyridine_nucleotide_transhydrogenase,_beta_subunit,100.000,462,0,0,1,462,1,462,0.0,927
25,PNTA-MONOMER_1.6.1.2~~~pntA~~~pyridine_nucleotide_transhydrogenase,_alpha_subunit,100.000,510,0,0,1,510,1,510,0.0,1038
26,G6860-MONOMER_~~~ydgH~~~predicted_protein,100.000,314,0,0,1,314,1,314,0.0,637
27,ARCD-MONOMER_~~~ydgI~~~ArcD_APC_transporter,100.000,460,0,0,1,460,1,460,0.0,909
28,G6862-MONOMER_1.5.1.3~~~folM~~~dihydromonapterin_reductase_/_dihydrofolate_reductase,100.000,240,0,0,1,240,1,240,0.0,499
29,G6863-MONOMER_~~~ydgC~~~hypothetical_protein,100.000,111,0,0,1,111,1,111,9.74e-76,216
30,G7057-MONOMER_~~~yedW~~~predicted_DNA-binding_response_regulator_in_two-component_system_with_YedV,32.609,230,141,2,4,233,3,218,6.33e-33,116
31,ENVZ-MONOMER_~~~envZ~~~EnvZ_sensory_histidine_kinase,32.453,265,164,5,154,414,176,429,3.96e-36,135
32,EG11038-MONOMER_~~~tus~~~DNA-binding_protein;_inhibition_of_replication_at_Ter_sites,100.000,309,0,0,1,309,1,309,0.0,634
33,FUMC-MONOMER_4.2.1.2~~~fumC~~~fumarase_C_monomer,100.000,467,0,0,1,467,1,467,0.0,965
34,FUMA-MONOMER_4.2.1.2~~~fumA~~~fumarase_A_monomer,100.000,548,0,0,1,548,1,548,0.0,1138
35,MANNPISOM-MONOMER_5.3.1.8~~~manA~~~mannose-6-phosphate_isomerase,100.000,391,0,0,1,391,1,391,0.0,800
36,G6865-MONOMER_~~~ydgA~~~conserved_protein,100.000,502,0,0,1,502,1,502,0.0,1019
37,G6866-MONOMER_~~~uidC~~~membrane-associated_protein,100.000,421,0,0,1,421,1,421,0.0,858
38,UIDB-MONOMER_~~~uidB~~~glucuronide:H+_symporter,100.000,457,0,0,1,457,1,457,0.0,920
39,BETA-GLUCURONID-MONOMER_3.2.1.31~~~uidA~~~beta-D-glucuronidase,100.000,603,0,0,1,603,1,603,0.0,1264
40,G6867-MONOMER_~~~uidR~~~UidR_DNA-binding_transcriptional_repressor,100.000,195,0,0,1,195,2,196,1.85e-146,402
41,7-ALPHA-HYDROXYSTEROID-DEH-MONOMER_1.1.1.159~~~hdhA~~~7-alpha-hydroxysteroid_dehydrogenase,99.608,255,1,0,1,255,1,255,0.0,519
42,PD00361_~~~malI~~~MalI_DNA-binding_transcriptional_repressor,100.000,342,0,0,1,342,1,342,0.0,696
43,MALX-MONOMER_2.7.1.69~~~malX~~~maltose_/_glucose_PTS_permease_-_MalX_subunit,100.000,530,0,0,1,530,1,530,0.0,1065
44,EG10564-MONOMER_4.4.1.8~~~malY~~~bifunctional_beta-cystathionase,_PLP-dependent_and_regulator_of_maltose_regulon,100.000,390,0,0,1,390,1,390,0.0,815
